,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
66,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3407003054176185,0.173858642578125,0.0
82,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.34787895869951263,0.207550048828125,0.0
98,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_0,0.48046875,0.32199953845460155,0.08642578125,0.0
114,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_1,0.48046875,0.31245577484704046,0.030029296875,0.0
130,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_2,0.48046875,0.31489122302098277,0.046478271484375,0.0
146,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_3,0.48046875,0.3202738710048851,0.076507568359375,0.0
162,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_4,0.48046875,0.3407003054176185,0.173858642578125,0.0
178,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/art,clean,max,lpips_vgg_5,0.48046875,0.34787895869951263,0.207550048828125,0.0
3,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.34154723444232093,0.18597412109375,0.0
19,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.33055922593884596,0.142242431640625,0.0
35,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.34024739759282885,0.181365966796875,0.0
51,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.34539819825614926,0.199798583984375,0.0
67,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.35192100609688265,0.22308349609375,0.0
83,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.3495428998256431,0.215301513671875,0.0
99,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_0,0.48046875,0.34154723444232093,0.18597412109375,0.0
115,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_1,0.48046875,0.33055922593884596,0.142242431640625,0.0
131,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_2,0.48046875,0.34024739759282885,0.181365966796875,0.0
147,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_3,0.48046875,0.34539819825614926,0.199798583984375,0.0
163,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_4,0.48046875,0.35192100609688265,0.22308349609375,0.0
179,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DALL-E/T2I/pixiv,clean,max,lpips_vgg_5,0.48046875,0.3495428998256431,0.215301513671875,0.0
12,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.3180473861400973,0.061248779296875,0.0
28,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.31845418265195835,0.07159423828125,0.0
44,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.31249809802867223,0.027923583984375,0.0
60,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.31324920981912097,0.031097412109375,0.0
76,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.32291165120755105,0.090362548828125,0.0
92,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.34019445178558005,0.172027587890625,0.0
108,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_0,0.48046875,0.3180473861400973,0.061248779296875,0.0
124,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_1,0.48046875,0.31845418265195835,0.07159423828125,0.0
140,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_2,0.48046875,0.31249809802867223,0.027923583984375,0.0
156,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_3,0.48046875,0.31324920981912097,0.031097412109375,0.0
172,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_4,0.48046875,0.32291165120755105,0.090362548828125,0.0
188,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/art,clean,max,lpips_vgg_5,0.48046875,0.34019445178558005,0.172027587890625,0.0
13,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.50390625,0.5058050201909112,0.50390625,0.0625
29,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.5234375,0.5432493825971714,0.538116455078125,0.0859375
45,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.51171875,0.5016438905202776,0.494598388671875,0.0625
61,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.5078125,0.4867138073354946,0.4766845703125,0.0546875
77,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.49609375,0.4952122212087721,0.489715576171875,0.046875
93,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.51171875,0.5214823488706166,0.51153564453125,0.078125
109,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_0,0.50390625,0.5058050201909112,0.50390625,0.0625
125,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_1,0.5234375,0.5432493825971714,0.538116455078125,0.0859375
141,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_2,0.51171875,0.5016438905202776,0.494598388671875,0.0625
157,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_3,0.5078125,0.4867138073354946,0.4766845703125,0.0546875
