,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
48,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.4938659839091129,0.5096435546875,0.0
68,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.4418839511097094,0.436004638671875,0.0
88,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.39549918152192537,0.3465576171875,0.0
108,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.3646748987073193,0.262054443359375,0.0
128,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_0,0.48046875,0.433037718050877,0.415740966796875,0.0
148,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_1,0.51171875,0.6187739553485823,0.661895751953125,0.078125
168,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_2,0.48046875,0.4938659839091129,0.5096435546875,0.0
188,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_3,0.48046875,0.4418839511097094,0.436004638671875,0.0
208,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_4,0.48046875,0.39549918152192537,0.3465576171875,0.0
228,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_5,0.48046875,0.3646748987073193,0.262054443359375,0.0
3,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.36931248023035973,0.277801513671875,0.0
23,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.48992967317769254,0.5413818359375,0.0
43,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.42698551848426847,0.4019775390625,0.0
63,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.37812893081402776,0.3040771484375,0.0
83,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.35048023971367126,0.218475341796875,0.0
103,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.33817928954476173,0.17266845703125,0.0
123,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_0,0.48046875,0.36931248023035973,0.277801513671875,0.0
143,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_1,0.48046875,0.48992967317769254,0.5413818359375,0.0
163,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_2,0.48046875,0.42698551848426847,0.4019775390625,0.0
183,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_3,0.48046875,0.37812893081402776,0.3040771484375,0.0
203,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_4,0.48046875,0.35048023971367126,0.218475341796875,0.0
223,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_5,0.48046875,0.33817928954476173,0.17266845703125,0.0
