,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
112,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_0,0.9766237021646504,0.86
129,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_1,0.9702427744969612,0.74
146,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_2,0.9898127554904641,0.94
163,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_3,0.9857570882098013,0.94
180,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_4,0.9128979083314466,0.62
197,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_expressionism,clean,max,lpips_vgg_5,0.8468786839989975,0.2
15,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9688417916392397,0.8
32,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9547441958537976,0.64
49,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.996117878262416,0.98
66,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9855653218704274,0.98
83,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.8845060841406165,0.5
100,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8402995868613664,0.2
117,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_0,0.9688417916392397,0.8
134,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_1,0.9547441958537976,0.64
151,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_2,0.996117878262416,0.98
168,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_3,0.9855653218704274,0.98
185,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_4,0.8845060841406165,0.5
202,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_impressionism,clean,max,lpips_vgg_5,0.8402995868613664,0.2
1,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9397616569470455,0.52
18,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.8997497864082118,0.38
35,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9866448592668485,0.9
52,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9606059084564191,0.86
69,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.8522961152129472,0.34
86,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8456084991541342,0.24
103,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_0,0.9397616569470455,0.52
120,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_1,0.8997497864082118,0.38
137,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_2,0.9866448592668485,0.9
154,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_3,0.9606059084564191,0.86
171,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_4,0.8522961152129472,0.34
188,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_5,0.8456084991541342,0.24
6,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.986258507912176,0.9
23,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9792640997436135,0.78
40,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.973969908612738,0.82
57,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.979795258510956,0.96
74,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9433374718007594,0.9
91,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9657555931288895,0.64
108,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_0,0.986258507912176,0.9
125,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_1,0.9792640997436135,0.78
142,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_2,0.973969908612738,0.82
159,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_3,0.979795258510956,0.96
176,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_4,0.9433374718007594,0.9
193,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_5,0.9657555931288895,0.64
11,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9980059392987966,1.0
28,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9874769156284879,0.9
45,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9949672261107485,0.96
62,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9962466348762173,1.0
79,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9881080248581617,0.98
96,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9940087208691348,0.94
113,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_0,0.9980059392987966,1.0
130,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_1,0.9874769156284879,0.9
147,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_2,0.9949672261107485,0.96
